code,category,name,price,currency,rating,rating_count,store_type,url,url_picture
100210858245,Электрочайники и термопоты/REDMOND,"Чайник REDMOND RK-M183, серебристый",1890,RUR,0,0,Беру,https://beru.ru/product/chainik-redmond-rk-m183/100210858245,https://avatars.mds.yandex.net/get-mpic/364668/img_id3960043885124174595.jpeg/orig
100210858245,Электрочайники и термопоты/REDMOND,"Чайник REDMOND RK-M183, серебристый",1790,RUR,0,0,Беру,https://beru.ru/product/chainik-redmond-rk-m183/100210858245,https://avatars.mds.yandex.net/get-mpic/364668/img_id3960043885124174595.jpeg/orig
100210858527,Электрочайники и термопоты/Tefal,"Чайник Tefal KI 270 Confidence, матовое красное вино",2799,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ki-270-confidence/100210858527,https://avatars.mds.yandex.net/get-mpic/1750207/img_id58530034994875597/orig
100210858527,Электрочайники и термопоты/Tefal,"Чайник Tefal KI 270 Confidence, матовое красное вино",2580,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ki-270-confidence/100210858527,https://avatars.mds.yandex.net/get-mpic/1750207/img_id58530034994875597/orig
100210858530,Электрочайники и термопоты/Xiaomi,"Чайник Xiaomi Smart Kettle Bluetooth, белый",2803,RUR,0,0,Беру,https://beru.ru/product/chainik-xiaomi-smart-kettle-bluetooth/100210858530,https://avatars.mds.yandex.net/get-mpic/1522540/img_id1900574683909775425/orig
100210858530,Электрочайники и термопоты/Xiaomi,"Чайник Xiaomi Smart Kettle Bluetooth, белый",2990,RUR,0,0,Беру,https://beru.ru/product/chainik-xiaomi-smart-kettle-bluetooth/100210858530,https://avatars.mds.yandex.net/get-mpic/1522540/img_id1900574683909775425/orig
100210858535,Электрочайники и термопоты/Galaxy,"Чайник Galaxy GL0307 (2016), белый",1467,RUR,4.5,23,Беру,https://beru.ru/product/chainik-galaxy-gl0307-2016/100210858535,https://avatars.mds.yandex.net/get-mpic/96484/img_id4030105274100221271/orig
100210858535,Электрочайники и термопоты/Galaxy,"Чайник Galaxy GL0307 (2016), белый",1660,RUR,0,0,Беру,https://beru.ru/product/chainik-galaxy-gl0307-2016/100210858535,https://avatars.mds.yandex.net/get-mpic/96484/img_id4030105274100221271/orig
100210858765,Электрочайники и термопоты/Polaris,"Чайник Polaris PWK 1719CGL, серебристый/черный",1590,RUR,0,0,Беру,https://beru.ru/product/chainik-polaris-pwk-1719cgl/100210858765,https://avatars.mds.yandex.net/get-mpic/364668/img_id6998581190358787610.jpeg/orig
100210858765,Электрочайники и термопоты/Polaris,"Чайник Polaris PWK 1719CGL, серебристый/черный",1590,RUR,0,0,Беру,https://beru.ru/product/chainik-polaris-pwk-1719cgl/100210858765,https://avatars.mds.yandex.net/get-mpic/364668/img_id6998581190358787610.jpeg/orig
100210858779,Электрочайники и термопоты/REDMOND,"Чайник REDMOND RK-M1441, серебристый",2240,RUR,4.5,24,Беру,https://beru.ru/product/chainik-redmond-rk-m1441/100210858779,https://avatars.mds.yandex.net/get-mpic/1538707/img_id7042111239893523411/orig
100210858779,Электрочайники и термопоты/REDMOND,"Чайник REDMOND RK-M1441, серебристый",2091,RUR,0,0,Беру,https://beru.ru/product/chainik-redmond-rk-m1441/100210858779,https://avatars.mds.yandex.net/get-mpic/1538707/img_id7042111239893523411/orig
100210858794,Электрочайники и термопоты/Scarlett,"Чайник Scarlett SC-EK27G98, шоколад",2599,RUR,0,0,Беру,https://beru.ru/product/chainik-scarlett-sc-ek27g98-99/100210858794,https://avatars.mds.yandex.net/get-mpic/175985/img_id9129251120488705592/orig
100210858797,Электрочайники и термопоты/Philips,"Чайник Philips HD9358, синий",4016,RUR,0,0,Беру,https://beru.ru/product/chainik-philips-hd9358/100210858797,https://avatars.mds.yandex.net/get-mpic/1525215/img_id5692191598839994961.jpeg/orig
100210858802,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK 6A813, нержавеющая сталь/черный",4019,RUR,3.5,4,Беру,https://beru.ru/product/chainik-bosch-twk-6a813/100210858802,https://avatars.mds.yandex.net/get-mpic/397397/img_id2712693265450257706/orig
100210858802,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK 6A813, нержавеющая сталь/черный",3744,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-6a813/100210858802,https://avatars.mds.yandex.net/get-mpic/397397/img_id2712693265450257706/orig
100210858806,Электрочайники и термопоты/VES,"Чайник VES 1025, черный",950,RUR,0,0,Беру,https://beru.ru/product/chainik-ves-1025/100210858806,https://avatars.mds.yandex.net/get-mpic/96484/img_id7674592055079486803/orig
100210858810,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-616, серебристый/черный",3390,RUR,4.5,86,Беру,https://beru.ru/product/chainik-kitfort-kt-616/100210858810,https://avatars.mds.yandex.net/get-mpic/200316/img_id2621412822624448526/orig
100210858810,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-616, серебристый/черный",3390,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-616/100210858810,https://avatars.mds.yandex.net/get-mpic/200316/img_id2621412822624448526/orig
100210858811,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-618, серебристый/черный",2890,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-618/100210858811,https://avatars.mds.yandex.net/get-mpic/175985/img_id8916355719681301749/orig
100210858811,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-618, серебристый/черный",2890,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-618/100210858811,https://avatars.mds.yandex.net/get-mpic/175985/img_id8916355719681301749/orig
100210858823,Электрочайники и термопоты/FIRST AUSTRIA,"Чайник FIRST AUSTRIA FA-5425-2 WI, белый",1040,RUR,0,0,Беру,https://beru.ru/product/chainik-first-austria-5425-2/100210858823,https://avatars.mds.yandex.net/get-mpic/2008455/img_id2516524512888742396.jpeg/orig
100210858841,Электрочайники и термопоты/Gorenje,"Чайник Gorenje K10BKC, черный",2790,RUR,0,0,Беру,https://beru.ru/product/chainik-gorenje-k10bkc/100210858841,https://avatars.mds.yandex.net/get-mpic/397397/img_id8419274427803701559.jpeg/orig
100210858958,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-622, серебристый",3490,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-622/100210858958,https://avatars.mds.yandex.net/get-mpic/200316/img_id8398444283947377800.jpeg/orig
100210858959,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-623, серебристый",2590,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-623/100210858959,https://avatars.mds.yandex.net/get-mpic/397397/img_id394165690284401267.jpeg/orig
100210860213,Электрочайники и термопоты/Braun,"Чайник Braun WK 600, нержавеющая сталь",5390,RUR,0,0,Беру,https://beru.ru/product/chainik-braun-wk-600/100210860213,https://avatars.mds.yandex.net/get-mpic/331398/img_id609228598411040733.jpeg/orig
100210860293,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 299 Express Plastic, белый",1900,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-299-express-plastic/100210860293,https://avatars.mds.yandex.net/get-mpic/199079/img_id1859329032992317696/orig
100210860296,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK8611P, белый",4990,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-8611-8612-8613-8614-8617-8619/100210860296,https://avatars.mds.yandex.net/get-mpic/96484/img_id4709554479537112915/orig
100210860296,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK8611P, белый",4137,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-8611-8612-8613-8614-8617-8619/100210860296,https://avatars.mds.yandex.net/get-mpic/96484/img_id4709554479537112915/orig
